# [b'Cross sections for HNC\nHelgi Rafn Hr\xc3\xb3\xc3\xb0marsson 2022-11-24\nPhotodissociation source: Aguado+ (2017)\nPhotoionization source: Gans+ (2019)\nwavelength: (nm)\nphotoabsorption:    cross section (cm2)\nphotodissociation:  cross section (cm2)\nphotoionisation:    cross section (cm2)']
# 
# wavelength   photoabsorption photodissociation   photoionisation
  88.0046276       3.64850e-17       0.00000e+00       3.64850e-17
  88.0227469       3.63912e-17       0.00000e+00       3.63912e-17
  88.0414988       3.62936e-17       0.00000e+00       3.62936e-17
  88.0596333       3.61944e-17       0.00000e+00       3.61944e-17
  88.0784009       3.60879e-17       0.00000e+00       3.60879e-17
  88.0965506       3.59770e-17       0.00000e+00       3.59770e-17
  88.1153339       3.58622e-17       0.00000e+00       3.58622e-17
  88.1334988       3.57391e-17       0.00000e+00       3.57391e-17
  88.1522980       3.56110e-17       0.00000e+00       3.56110e-17
  88.1704781       3.54779e-17       0.00000e+00       3.54779e-17
  88.1892930       3.53365e-17       0.00000e+00       3.53365e-17
  88.2074884       3.51902e-17       0.00000e+00       3.51902e-17
  88.2263191       3.50383e-17       0.00000e+00       3.50383e-17
  88.2445298       3.48791e-17       0.00000e+00       3.48791e-17
  88.2633763       3.47161e-17       0.00000e+00       3.47161e-17
  88.2816023       3.45482e-17       0.00000e+00       3.45482e-17
  88.3004647       3.43752e-17       0.00000e+00       3.43752e-17
  88.3187060       3.41994e-17       0.00000e+00       3.41994e-17
  88.3375842       3.40215e-17       0.00000e+00       3.40215e-17
  88.3558409       3.38396e-17       0.00000e+00       3.38396e-17
  88.3747350       3.36556e-17       0.00000e+00       3.36556e-17
  88.3930070       3.34704e-17       0.00000e+00       3.34704e-17
  88.4119170       3.32841e-17       0.00000e+00       3.32841e-17
  88.4302044       3.30973e-17       0.00000e+00       3.30973e-17
  88.4491303       3.29105e-17       0.00000e+00       3.29105e-17
  88.4674331       3.27242e-17       0.00000e+00       3.27242e-17
  88.4863750       3.25379e-17       0.00000e+00       3.25379e-17
  88.5046932       3.23517e-17       0.00000e+00       3.23517e-17
  88.5236510       3.21654e-17       0.00000e+00       3.21654e-17
  88.5419847       3.19791e-17       0.00000e+00       3.19791e-17
  88.5609585       3.17912e-17       0.00000e+00       3.17912e-17
  88.5793076       3.16027e-17       0.00000e+00       3.16027e-17
  88.5982974       3.14126e-17       0.00000e+00       3.14126e-17
  88.6166620       3.12196e-17       0.00000e+00       3.12196e-17
  88.6356678       3.10256e-17       0.00000e+00       3.10256e-17
  88.6540479       3.08288e-17       0.00000e+00       3.08288e-17
  88.6730698       3.06292e-17       0.00000e+00       3.06292e-17
  88.6914654       3.04269e-17       0.00000e+00       3.04269e-17
  88.7105033       3.02218e-17       0.00000e+00       3.02218e-17
  88.7289145       3.00144e-17       0.00000e+00       3.00144e-17
  88.7479685       2.98049e-17       0.00000e+00       2.98049e-17
  88.7663952       2.95931e-17       0.00000e+00       2.95931e-17
  88.7854653       2.93797e-17       0.00000e+00       2.93797e-17
  88.8039076       2.91652e-17       0.00000e+00       2.91652e-17
  88.8229938       2.89501e-17       0.00000e+00       2.89501e-17
  88.8414517       2.87367e-17       0.00000e+00       2.87367e-17
  88.8605541       2.85255e-17       0.00000e+00       2.85255e-17
  88.8790275       2.83159e-17       0.00000e+00       2.83159e-17
  88.8981461       2.81113e-17       0.00000e+00       2.81113e-17
  88.9166352       2.79112e-17       0.00000e+00       2.79112e-17
  88.9357700       2.77144e-17       0.00000e+00       2.77144e-17
  88.9542747       2.75254e-17       0.00000e+00       2.75254e-17
  88.9734257       2.73424e-17       0.00000e+00       2.73424e-17
  88.9919461       2.71645e-17       0.00000e+00       2.71645e-17
  89.0111133       2.69970e-17       0.00000e+00       2.69970e-17
  89.0296494       2.68363e-17       0.00000e+00       2.68363e-17
  89.0488328       2.66827e-17       0.00000e+00       2.66827e-17
  89.0673847       2.65385e-17       0.00000e+00       2.65385e-17
  89.0865844       2.64016e-17       0.00000e+00       2.64016e-17
  89.1051519       2.62724e-17       0.00000e+00       2.62724e-17
  89.1243679       2.61504e-17       0.00000e+00       2.61504e-17
  89.1429513       2.60345e-17       0.00000e+00       2.60345e-17
  89.1621836       2.59247e-17       0.00000e+00       2.59247e-17
  89.1807827       2.58204e-17       0.00000e+00       2.58204e-17
  89.2000313       2.57212e-17       0.00000e+00       2.57212e-17
  89.2186462       2.56247e-17       0.00000e+00       2.56247e-17
  89.2379111       2.55315e-17       0.00000e+00       2.55315e-17
  89.2565419       2.54411e-17       0.00000e+00       2.54411e-17
  89.2758232       2.53518e-17       0.00000e+00       2.53518e-17
  89.2944698       2.52630e-17       0.00000e+00       2.52630e-17
  89.3137675       2.51726e-17       0.00000e+00       2.51726e-17
  89.3324299       2.50806e-17       0.00000e+00       2.50806e-17
